Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2023,Honda,CR-V EX-L,New,"$34,640",4.7,2051,Crystal Black Pearl,–,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H77PL000638,PL000638,5,5,5,5,4,4,5,AZ,Dealer
2023,Honda,Pilot Sport,New,"$42,595",4.3,1239,Lunar Silver Metallic,Black,All-wheel Drive,22,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNYG1H3XPB002207,44695,1,,,,,,,UT,Dealer
2023,Honda,Pilot Elite,New,"$53,720",4.3,1239,White,Brown,All-wheel Drive,22,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNYG1H80PB000865,44677,1,,,,,,,UT,Dealer
2023,Honda,Pilot TrailSport,New,"$50,150",4.6,985,Sky,Black,All-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H62PB000395,2C0289,–,,,,,,,CO,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,939",4.5,1972,Platinum White Pearl,–,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800251,PH800251,15,5,3,4,4,5,5,CO,Dealer
2022,Honda,Ridgeline RTL-E,New,"$43,190",4.7,790,Platinum White Pearl,Black,All-wheel Drive,21,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F73NB023890,229145,10,5,4.9,4.9,4.3,4.7,5,WA,Dealer
2022,Honda,Ridgeline RTL-E,New,"$42,795",4.7,790,Obsidian Blue Pearl,Gray,All-wheel Drive,21,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F71NB015061,229118,9268,5,4.9,4.9,4.3,4.7,5,WA,Dealer
2022,Honda,Passport Elite,New,"$41,950",4.7,790,Obsidian Blue Pearl,Gray,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H05NB011492,224029,9352,5,5,4.9,5,4.9,5,WA,Dealer
2023,Honda,Ridgeline RTL-E,New,"$48,820",4.8,6,Platinum White Pearl,Beige,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74PB012903,X7016,5,5,4.8,4.8,4.2,5,5,NE,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,469",5,5,Platinum White Pearl,Black,Front-wheel Drive,32,Gasoline,continuously variable,4 Cylinder Engine,1HGCV1F32NA089319,22049,4,5,5,5,5,5,5,OK,Dealer
2023,Honda,HR-V Sport,New,"$29,039",4.6,5,Platinum White Pearl,Black,All-wheel Drive,27.5,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ2H52PM722919,23027,16,4,5,4,5,5,5,OK,Dealer
2023,Honda,CR-V EX-L,New,"$36,504",4.7,5,Crystal Black Pearl,Gray,All-wheel Drive,29.5,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H79PH400825,23011,2,5,5,5,4,4,5,OK,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,239",4.4,5,Platinum White Pearl,Black,All-wheel Drive,37,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H94PH800174,23023,7,5,3,4,4,5,5,OK,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,089",4.4,5,Platinum White Pearl,Black,Front-wheel Drive,39.5,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS5H54PH700891,23029,2,5,3,4,4,5,5,OK,Dealer
2022,Honda,Civic Sport,New,"$25,845",4.6,5,Rallye Red,Black,Front-wheel Drive,33,Gasoline,continuously variable,4 Cylinder Engine,19XFL2H87NE021708,22015,18,4.6,4.9,4.4,4.6,4.6,4.7,OK,Dealer
2022,Honda,Pilot TrailSport,New,"$46,420",4.4,877,Sonic Gray Pearl,Black,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H89NB083368,HN209,5,5,5,5,5,5,5,OK,Dealer
2022,Honda,Passport Elite,New,"$47,620",4.9,273,Platinum White Pearl,Gray,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H08NB029825,NB029825,10,5,5,4.9,5,4.9,5,TX,Dealer
2022,Honda,Pilot Sport,New,"$39,595",4.5,1691,Crystal Black Pearl,–,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB102612,NB102612,5,5,5,5,5,5,5,TX,Dealer
2023,Honda,Ridgeline RTL,New,"$43,482",5,2291,Radiant Red Metallic II,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F56PB012724,PB012724,5,5,4.8,4.8,4.2,5,5,TX,Dealer
2023,Honda,CR-V EX-L,New,"$35,400",4.9,2843,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V DOHC,2HKRS3H72PH300656,43018,10,5,5,5,4,4,5,TX,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500",4.6,880,Sonic Gray Pearl,Black,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB084560,NB084560,8,5,5,5,5,5,5,OK,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470",4.8,723,Platinum White Pearl,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F32NA061052,H061052R,5,5,5,5,5,5,5,KS,Dealer
2022,Honda,Accord Sport 2.0T,New,"$35,150",4.8,723,Platinum White Pearl,Black,Front-wheel Drive,27,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA025528,H025528,5,5,5,5,5,5,5,KS,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,075",4.8,723,Crystal Black Pearl,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA061033,H061033R,5,5,5,5,5,5,5,KS,Dealer
2023,Honda,Accord EX,New,"$30,705",4.8,723,Obsidian Blue Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V DOHC,1HGCY1F35PA003379,P0221,–,,,,,,,MO,Dealer
2022,Honda,Passport Elite,New,"$47,050",5,2599,Platinum White Pearl,Black,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB003457,Z02724-28,–,5,5,4.9,5,4.9,5,TX,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470",4.9,559,Platinum White Pearl,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA116455,116455,10,5,5,5,5,5,5,TX,Dealer
2022,Honda,Pilot TrailSport,New,"$46,719",4.5,820,Platinum White Pearl,Black,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H84NB098618,DNF098618,6,5,5,5,5,5,5,IA,Dealer
2022,Honda,Passport TrailSport,New,"$41,500",4.5,3710,–,–,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H69NB023701,NB023701,13,5,5,4.9,5,4.9,5,MO,Dealer
2022,Honda,Pilot EX-L,New,"$43,605",5,2231,Lunar Silver Metallic,Gray,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H59NB104872,221983,0,5,5,5,5,5,5,MN,Dealer
2023,Honda,CR-V EX,New,"$34,860",4.7,13,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H41PL003427,H13514,5,5,5,5,4,4,5,IA,Dealer
2023,Honda,Odyssey Sport,New,"$43,160",4.4,13,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB035452,H13509,6,5,5,4,4,4,5,IA,Dealer
2022,Honda,Passport EX-L,New,"$43,230",4.9,13,Radiant Red Metallic II,Black,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB031485,H13426,1,5,5,4.9,5,4.9,5,IA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505",4.7,13,Lunar Silver Metallic,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H78PH401352,H13416,6,5,5,5,4,4,5,IA,Dealer
2023,Honda,CR-V EX,New,"$34,250",4.7,13,Platinum White Pearl,Gray,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H49PH411250,H13505,6,5,5,5,4,4,5,IA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500",5,13,Platinum White Pearl,Black,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H85NB077633,H13377,16,5,5,5,5,5,5,IA,Dealer
2023,Honda,CR-V EX-L,New,"$35,005",4.7,13,Meteorite Gray Metallic,Gray,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS3H71PL000919,H13504,1,5,5,5,4,4,5,IA,Dealer
2023,Honda,CR-V EX-L,New,"$37,055",4.7,13,Crystal Black Pearl,Gray,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H73PH411903,H13515,1,5,5,5,4,4,5,IA,Dealer
2022,Honda,Passport TrailSport,New,"$47,848",4.9,13,Sonic Gray Pearl,Black,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB020920,H13362,32,5,5,4.9,5,4.9,5,IA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,205",5,13,Modern Steel Metallic,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H24NB086304,H13400,1,5,5,5,5,5,5,IA,Dealer
2022,Honda,CR-V Touring,New,"$36,845",4.8,3,Lunar Silver Metallic,Gray,All-wheel Drive,29.5,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H90NH666757,221714,10,4.9,4.8,4.7,4.8,4.7,4.9,LA,Dealer
2023,Honda,Passport TrailSport,New,"$44,290",4.8,3,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNYF8H60PB003596,231824,12,,,,,,,LA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,100",5,3,Sonic Gray Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB100232,221813,5,5,5,5,5,5,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$38,500",4.7,3,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H75PH407917,231827,12,5,5,5,4,4,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$37,000",4.7,3,Silver,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H7XPH300162,231757,12,5,5,5,4,4,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$35,400",4.7,7,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,2HKRS3H72PH300186,25679,5,5,5,5,4,4,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$35,900",4.7,7,Urban Gray Pearl,Black,All-wheel Drive,,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH409106,25796,3,5,5,5,4,4,5,LA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505",3.7,270,Lunar Silver Metallic,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H77PH401343,23H134,2,5,5,5,4,4,5,IA,Dealer
2022,Honda,Pilot Touring 8-Passenger,New,"$48,860",5,14,White,Black,All-wheel Drive,22.5,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H62NB099796,H22660,2,5,5,5,5,5,5,WI,Dealer
2022,Honda,Accord Hybrid Sport,New,"$34,555",4.7,328,White,Black,Front-wheel Drive,42.5,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F21NA044794,223864,12,4.9,5,5,4.9,4.9,5,LA,Dealer
2022,Honda,Pilot Sport,New,"$39,780",5,1516,Sonic Gray Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104164,22843,5,5,5,5,5,5,5,LA,Dealer
2023,Honda,Passport TrailSport,New,"$41,441",4.2,415,Black,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66PB001092,PB001092,4,,,,,,,LA,Dealer
2022,Honda,Pilot Sport,New,"$41,770",5,1,Platinum White Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H39NB099350,40T404,5,5,5,5,5,5,5,IL,Dealer
2023,Honda,Odyssey Sport,New,"$43,050",4.4,1,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H77PB023354,40T402,5,5,5,4,4,4,5,IL,Dealer
2023,Honda,Ridgeline Black Edition,New,"$44,042",5,4272,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F82PB009605,H30108,5,5,4.8,4.8,4.2,5,5,IL,Dealer
2022,Honda,Pilot Sport,New,"$41,770",4.7,436,Platinum White Pearl,Nh-883p/Black,All-wheel Drive,22.5,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H39NB100609,P100609,7,5,5,5,5,5,5,IL,Dealer
2023,Honda,Odyssey Sport,New,"$42,655",4.6,1874,Crystal Black Pearl,–,FWD,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB029697,PB029697,8,5,5,4,4,4,5,IL,Dealer
2022,Honda,Pilot TrailSport,New,"$46,105",4.6,1874,Crystal Black Pearl,–,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB067454,NB067454,3042,5,5,5,5,5,5,IL,Dealer
2022,Honda,CR-V EX,New,"$32,055",3.9,161,CRYSTAL BLACK,Black,All-wheel Drive,29.5,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARW2H59NE056453,62186,10,4.9,4.8,4.7,4.8,4.7,4.9,WI,Dealer
2023,Honda,Passport TrailSport,New,"$45,580",4.8,1978,Sonic Gray Pearl,Black,AWD,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H61PB003154,23099,2,,,,,,,IL,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,090",4.4,3,Platinum,Black,Front-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH701273,H5683,12,5,3,4,4,5,5,KY,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470",5,3,Gray,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA114815,H2200,–,5,5,5,5,5,5,KY,Dealer
2023,Honda,Ridgeline RTL-E,New,"$46,705",4.8,3,Gray,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F71PB017167,H5706,–,5,4.8,4.8,4.2,5,5,KY,Dealer
2023,Honda,Ridgeline Black Edition,New,"$47,920",4.8,3,Platinum,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F86PB001314,H5611,–,5,4.8,4.8,4.2,5,5,KY,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470",5,3,Platinum,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F36NA109930,H2197,–,5,5,5,5,5,5,KY,Dealer
2022,Honda,Pilot Sport,New,"$40,770",4.6,245,Platinum White Pearl,Black,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB103959,22H640,2,5,5,5,5,5,5,MI,Dealer
2022,Honda,Passport Elite,New,"$50,125",5,5663,Black,Black,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB016984,B016984,1,5,5,4.9,5,4.9,5,KY,Dealer
2022,Honda,Pilot Sport,New,"$40,270",4.9,826,Platinum White,–,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB104296,NB104296,4,5,5,5,5,5,5,MI,Dealer
2022,Honda,Pilot Sport,New,"$40,270",4.9,826,Platinum White,–,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104665,NB104665,4,5,5,5,5,5,5,MI,Dealer
2022,Honda,Accord Sport 2.0T,New,"$34,755",5,38,Crystal Black Pearl,Black,Front-wheel Drive,27,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F31NA019607,52104,3,5,5,5,5,5,5,IN,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,470",5,38,Sonic Gray Pearl,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F38NA099448,52045,255,5,5,5,5,5,5,IN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240",4.4,38,Platinum White Pearl,Gray,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H94PE000459,53069,25,5,3,4,4,5,5,IN,Dealer
2022,Honda,Accord Sport SE,New,"$31,960",5,38,Still Night Pearl,Black,Front-wheel Drive,32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F48NA118606,52097,6,5,5,5,5,5,5,IN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240",5,4402,Urban Gray Pearl,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH800356,9760,176,5,3,4,4,5,5,GA,Dealer
2022,Honda,Passport EX-L,New,"$42,053",4.5,1732,Crystal Black Pearl,Black,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB026819,496329,12,5,5,4.9,5,4.9,5,GA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$35,745",4.5,1205,Meteorite Gray Metallic,–,AWD,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H51PE005941,PE005941,5,5,3,4,4,5,5,GA,Dealer
2023,Honda,CR-V EX-L,New,"$36,505",4.7,2,Silver Metallic,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H7XPH400719,H23032,–,5,5,5,4,4,5,OH,Dealer
2023,Honda,Odyssey Elite,New,"$50,965",4.4,2,Obsidian Black,Gray,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H9XPB036553,H23099,–,5,5,4,4,4,5,OH,Dealer
2023,Honda,Ridgeline RTL,New,"$43,470",4.8,2,Pewter,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F5XPB009731,H23033,–,5,4.8,4.8,4.2,5,5,OH,Dealer
2023,Honda,Odyssey EX-L,New,"$41,486",4.6,1100,Gray,Gray,Front-wheel Drive,,Gasoline,–,3.5L V6 24V GDI SOHC,5FNRL6H68PB034306,HA24943,4,5,5,4,4,4,5,MI,Dealer
2022,Honda,Ridgeline RTL-E,New,"$45,760",5,2546,Platinum White Pearl,Beige,All-wheel Drive,21,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F72NB039434,NB039434,23,5,4.9,4.9,4.3,4.7,5,GA,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,560",5,2546,Platinum White Pearl,Black,Front-wheel Drive,42.5,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F22NA043282,NA043282,20,4.9,5,5,4.9,4.9,5,GA,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,560",5,2546,Platinum White Pearl,Black,Front-wheel Drive,42.5,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F20NA041191,NA041191,20,4.9,5,5,4.9,4.9,5,GA,Dealer
2022,Honda,Ridgeline RTL,New,"$42,810",5,2546,Pacific Pewter Metallic,Black,All-wheel Drive,21,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F53NB038176,NB038176,23,5,4.9,4.9,4.3,4.7,5,GA,Dealer
2023,Honda,Odyssey Sport,New,"$43,050",4.4,306,Sonic Gray Pearl,Blk Lth,Front-wheel Drive,23.5,Gasoline,10-Speed Automatic,V6 Cylinder Engine,5FNRL6H78PB027428,234004,0,5,5,4,4,4,5,MI,Dealer
2022,Honda,Pilot Special Edition,New,"$44,205",5,306,Crystal Black Pearl,Blk Lth,All-wheel Drive,22.5,Gasoline,9-Speed Automatic,V6 Cylinder Engine,5FNYF6H22NB091839,225045,6,5,5,5,5,5,5,MI,Dealer
2023,Honda,Odyssey Sport,New,"$43,050",4.4,306,Platinum White Pearl,Blk Lth,Front-wheel Drive,23.5,Gasoline,10-Speed Automatic,V6 Cylinder Engine,5FNRL6H78PB023332,234003,0,5,5,4,4,4,5,MI,Dealer
2023,Honda,Ridgeline RTL,New,"$43,075",4.8,9,Crystal Black Pearl,–,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F57PB005121,830090,7,5,4.8,4.8,4.2,5,5,CA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,105",4.3,471,Crystal Black Pearl,Black,All-wheel Drive,22,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H80NB095165,NB095165,7,5,5,5,5,5,5,CA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$46,465",5,12,Modern Steel Metallic,Black,Front-wheel Drive,23.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H62NB035655,5735655,9,5,5,5,5,5,5,CA,Dealer
2023,Honda,Pilot TrailSport,New,"$51,735",5,12,Sky,Black,AWD,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H63PB001393,30443,–,,,,,,,CA,Dealer
2023,Honda,HR-V LX,New,"$24,895",4.6,23,Gray,–,Front-wheel Drive,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H32PM713954,PM713954,80,4,5,4,5,5,5,CA,Dealer
2022,Honda,Passport TrailSport,New,"$45,169",4.9,18,Black,Black,All-wheel Drive,21.5,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H65NB028619,7528619,–,5,5,4.9,5,4.9,5,CA,Dealer
